"ID";"PlantProtectionProducts";"Periods";"SalesActiveIngredient_1";"SalesActiveIngredientIndexnumber_2"
"433";"A048561";"2011JJ00";"       0";"     100"
"434";"A048561";"2012JJ00";"       0";"      65"
"435";"A048561";"2013JJ00";"       0";"      48"
"436";"A048561";"2014JJ00";"       0";"      35"
"437";"A048561";"2015JJ00";"       0";"      35"
"438";"A048561";"2016JJ00";"       0";"      13"
"439";"A048561";"2017JJ00";"       0";"       9"
"440";"A048561";"2018JJ00";"";"       0"
"441";"A048561";"2019JJ00";"";"       0"
"442";"A048561";"2020JJ00";"";"       0"
"443";"A048561";"2021JJ00";"";"       0"
"444";"A048562";"2010JJ00";"       3";"     371"
"445";"A048562";"2011JJ00";"       1";"     100"
"446";"A048562";"2012JJ00";"       3";"     420"
"447";"A048562";"2013JJ00";"       3";"     440"
"448";"A048562";"2014JJ00";"       5";"     692"
"449";"A048562";"2015JJ00";"       4";"     576"
"450";"A048562";"2016JJ00";"       3";"     358"
"451";"A048562";"2017JJ00";"       5";"     654"
"452";"A048562";"2018JJ00";"       9";"    1235"
"453";"A048562";"2019JJ00";"       8";"    1086"
"454";"A048562";"2020JJ00";"      90";"   12563"
"455";"A048562";"2021JJ00";"     129";"   18032"
